ダウンロードした時刻：2023/06/07 16:08:45

,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2022/9/25,23.5,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,3.2,8,1,晴,8,1,晴一時曇,8,1
2022/9/26,23.5,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,2.1,8,1,晴,8,1,晴,8,1
2022/9/27,23.6,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,3.1,8,1,晴後時々曇,8,1,曇後一時晴,8,1
2022/9/28,23.0,8,1,0.0,0,8,1,9.7,0,8,1,0,1,8,1,3.8,8,1,晴後一時曇,8,1,曇時々雨,8,1
2022/9/29,21.8,8,1,1.0,0,8,1,0.5,0,8,1,0,1,8,1,1.8,8,1,曇時々雨,8,1,雨時々曇,8,1
2022/9/30,23.5,8,1,0.0,0,8,1,10.7,0,8,1,0,1,8,1,3.1,8,1,晴,8,1,晴後一時曇,8,1
2022/10/1,23.8,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,3.9,8,1,晴,8,1,晴後一時曇,8,1
2022/10/2,23.7,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,3.0,8,1,晴,8,1,曇時々晴,8,1
2022/10/3,23.4,8,1,0,1,8,1,4.3,0,8,1,0,1,8,1,2.5,8,1,曇後時々晴,8,1,晴時々曇,8,1
2022/10/4,25.0,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,5.4,8,1,晴後一時曇,8,1,曇後時々晴,8,1
2022/10/5,20.8,8,1,10.0,0,8,1,0.0,0,8,1,0,1,8,1,3.7,8,1,雨時々曇,8,1,雨後時々曇,8,1
2022/10/6,13.8,8,1,5.5,0,8,1,0.0,0,8,1,0,1,8,1,3.6,8,1,雨時々曇,8,1,曇後一時雨,8,1
2022/10/7,12.7,8,1,76.0,0,8,1,0.0,0,8,1,0,1,8,1,6.1,8,1,大雨,8,1,雨一時晴後曇,8,1
2022/10/8,17.0,8,1,0,1,8,1,1.6,0,8,1,0,1,8,1,2.1,8,1,曇,8,1,晴時々曇,8,1
2022/10/9,17.3,8,1,10.0,0,8,1,1.3,0,8,1,0,1,8,1,4.3,8,1,曇後一時雨,8,1,雨後一時曇,8,1
2022/10/10,20.0,8,1,7.5,0,8,1,1.9,0,8,1,0,1,8,1,3.6,8,1,曇時々雨一時晴,8,1,曇時々晴,8,1
2022/10/11,22.0,8,1,0,1,8,1,6.0,0,8,1,0,1,8,1,3.5,8,1,曇時々晴,8,1,曇後一時雨,8,1
